Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
12:03:14,49.8,1.862,1.040,1.040
12:03:15,49.7,1.861,1.040,1.040
12:03:17,50.0,1.863,1.041,1.040
12:03:18,49.8,1.862,1.041,1.040
12:03:19,49.8,1.862,1.040,1.040
12:03:21,49.8,1.862,1.040,1.040
12:03:22,49.8,1.863,1.040,1.039
12:03:23,49.8,1.861,1.040,1.041
12:03:25,50.2,1.863,1.041,1.041
12:03:26,50.0,1.863,1.041,1.040
12:03:27,49.8,1.862,1.040,1.041
12:03:29,49.6,1.861,1.040,1.040
12:03:30,49.8,1.862,1.040,1.040
12:03:32,49.8,1.862,1.039,1.039
12:03:33,49.7,1.862,1.039,1.040
12:03:34,49.7,1.861,1.040,1.039
12:03:36,49.8,1.863,1.041,1.041
12:03:37,49.7,1.862,1.041,1.040
12:03:38,49.8,1.862,1.041,1.041
12:03:40,49.8,1.862,1.039,1.040
12:03:41,49.7,1.861,1.040,1.039
12:03:42,49.8,1.862,1.040,1.040
12:03:44,49.7,1.861,1.040,1.041
12:03:45,49.8,1.862,1.040,1.040
12:03:47,49.8,1.861,1.041,1.040
12:03:48,50.0,1.862,1.041,1.040
12:03:49,49.8,1.862,1.041,1.040
12:03:51,49.8,1.863,1.040,1.040
12:03:52,50.0,1.863,1.040,1.040
12:03:53,50.0,1.862,1.041,1.041
12:03:55,50.1,1.863,1.041,1.040
12:03:56,49.8,1.862,1.041,1.041
12:03:57,49.8,1.863,1.041,1.040
12:03:59,50.0,1.863,1.041,1.040
12:04:00,49.8,1.862,1.040,1.040
12:04:02,49.8,1.862,1.041,1.040
12:04:03,49.7,1.862,1.041,1.040
12:04:04,49.7,1.863,1.041,1.040
12:04:06,49.8,1.863,1.040,1.040
12:04:07,50.0,1.863,1.041,1.041
12:04:08,49.7,1.862,1.039,1.039
12:04:10,50.0,1.863,1.040,1.041
12:04:11,49.8,1.863,1.041,1.040
12:04:12,50.0,1.863,1.041,1.040
12:04:14,49.8,1.863,1.040,1.041
12:04:15,49.8,1.863,1.041,1.040
12:04:17,49.8,1.861,1.040,1.040
12:04:18,49.8,1.862,1.040,1.041
12:04:19,49.8,1.862,1.041,1.040
12:04:21,49.7,1.863,1.042,1.041
12:04:22,50.2,1.863,1.041,1.042
12:04:23,50.1,1.863,1.040,1.040
12:04:25,49.7,1.862,1.040,1.040
12:04:26,49.7,1.862,1.040,1.040
12:04:28,49.6,1.863,1.040,1.040
12:04:29,49.7,1.862,1.040,1.039
12:04:30,49.8,1.862,1.040,1.040
12:04:32,49.8,1.862,1.041,1.040
12:04:33,50.0,1.860,1.039,1.039
12:04:34,49.8,1.862,1.041,1.040
12:04:36,49.8,1.862,1.040,1.040
