Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_14:55:25,9.220636129379272,30.0,130.0,2.0,0.0,171.0
2024-07-07_14:55:34,18.603323221206665,30.0,130.0,34.0,0.0,203.0
2024-07-07_14:55:44,28.093223810195923,30.0,130.0,66.0,0.0,236.0
2024-07-07_14:55:53,37.64126801490784,30.0,130.0,98.0,0.0,17.0
2024-07-07_14:56:03,47.08095145225525,30.0,130.0,130.0,0.0,49.0
2024-07-07_14:56:12,56.506009578704834,30.0,130.0,146.0,0.0,81.0
2024-07-07_14:56:22,65.85752296447754,30.0,130.0,178.0,0.0,113.0
2024-07-07_14:56:31,75.30206751823425,30.0,130.0,209.0,0.0,146.0
2024-07-07_14:56:40,84.7156879901886,30.0,130.0,241.0,0.0,180.0
2024-07-07_14:56:50,94.1923897266388,30.0,130.0,17.0,0.0,210.0
2024-07-07_14:56:59,103.69360518455505,30.0,130.0,45.0,0.0,242.0
2024-07-07_14:57:09,113.01083993911743,30.0,130.0,79.0,0.0,19.0
2024-07-07_14:57:18,122.2468330860138,30.0,130.0,111.0,0.0,51.0
2024-07-07_14:57:27,131.6993727684021,30.0,130.0,143.0,0.0,88.0
2024-07-07_14:57:37,141.1673059463501,30.0,130.0,174.0,0.0,117.0
2024-07-07_14:57:46,150.70088577270508,30.0,130.0,206.0,0.0,151.0
2024-07-07_14:57:56,160.04266381263733,30.0,130.0,238.0,0.0,181.0
2024-07-07_14:58:05,169.58191537857056,30.0,130.0,14.0,0.0,186.0
2024-07-07_14:58:15,178.96777844429016,30.0,130.0,45.0,0.0,219.0
2024-07-07_14:58:24,188.24642610549927,30.0,130.0,76.0,0.0,27.0
2024-07-07_14:58:33,197.61445093154907,30.0,130.0,108.0,0.0,60.0
2024-07-07_14:58:43,207.0322868824005,30.0,130.0,140.0,0.0,92.0
2024-07-07_14:58:52,216.4423611164093,30.0,130.0,172.0,0.0,125.0
2024-07-07_14:59:01,225.83360624313354,30.0,130.0,204.0,0.0,157.0
