Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_18:52:06,9.304773807525635,0.0,0.0,20.0,0.0,21.0
2024-07-07_18:52:15,18.616722583770752,0.0,0.0,52.0,0.0,53.0
2024-07-07_18:52:24,27.930373191833496,0.0,0.0,84.0,0.0,85.0
2024-07-07_18:52:34,37.17014527320862,0.0,0.0,116.0,0.0,117.0
2024-07-07_18:52:43,46.4617862701416,0.0,0.0,148.0,0.0,149.0
2024-07-07_18:52:52,55.794867277145386,0.0,0.0,180.0,0.0,181.0
2024-07-07_18:53:02,65.1652319431305,0.0,0.0,212.0,0.0,213.0
2024-07-07_18:53:11,74.55940675735474,0.0,0.0,244.0,0.0,245.0
2024-07-07_18:53:20,83.90430474281311,0.0,0.0,20.0,0.0,21.0
2024-07-07_18:53:30,93.19421720504761,0.0,0.0,52.0,0.0,53.0
2024-07-07_18:53:39,102.56558728218079,0.0,0.0,84.0,0.0,85.0
2024-07-07_18:53:49,113.05465006828308,0.0,0.0,116.0,0.0,117.0
2024-07-07_18:54:00,123.98018050193787,0.0,0.0,124.0,0.0,149.0
2024-07-07_18:54:11,134.87266302108765,0.0,0.0,124.0,0.0,181.0
2024-07-07_18:54:22,145.76392531394958,0.0,0.0,124.0,0.0,213.0
2024-07-07_18:54:33,156.61038064956665,0.0,0.0,124.0,0.0,245.0
2024-07-07_18:54:44,167.60073375701904,0.0,0.0,124.0,0.0,21.0
2024-07-07_18:54:55,178.3655242919922,0.0,0.0,124.0,0.0,53.0
2024-07-07_18:55:05,188.9721119403839,0.0,0.0,124.0,0.0,85.0
2024-07-07_18:55:16,199.41652393341064,0.0,0.0,124.0,0.0,117.0
2024-07-07_18:55:27,211.12905478477478,0.0,0.0,124.0,0.0,149.0
2024-07-07_18:55:40,223.40380477905273,21.0,206.0,129.0,1.0,181.0
2024-07-07_18:55:50,234.08695006370544,21.0,206.0,129.0,1.0,213.0
2024-07-07_18:56:01,244.63347244262695,21.0,206.0,129.0,1.0,245.0
2024-07-07_18:56:12,255.70915699005127,21.0,206.0,129.0,1.0,21.0
2024-07-07_18:56:23,266.6748433113098,21.0,206.0,129.0,1.0,53.0
2024-07-07_18:56:34,277.62590765953064,21.0,206.0,129.0,1.0,85.0
2024-07-07_18:56:45,288.66455459594727,21.0,206.0,129.0,1.0,117.0
2024-07-07_18:56:56,299.49650740623474,21.0,206.0,129.0,1.0,149.0
2024-07-07_18:57:07,310.4674427509308,21.0,206.0,129.0,1.0,181.0
2024-07-07_18:57:18,321.3032262325287,21.0,206.0,129.0,1.0,213.0
2024-07-07_18:57:29,332.3454694747925,21.0,206.0,129.0,1.0,245.0
2024-07-07_18:57:40,343.2676639556885,21.0,206.0,129.0,1.0,21.0
2024-07-07_18:51:56,343.66576194763184,None,None,None,None,End of Test
