Times,elabsed_time,test_tx,bus_id,nodeId,adc_ch,index,sub_index,adc_data,adc_data_converted,reqmsg,requestreg,respmsg,responsereg,status
2024-03-16_11:56:30,0.306441068649292,1,0,0,3,0x2400,1,None,None,1,0x600402400010000000000000,0,None,0
2024-03-16_11:56:31,0.6115427017211914,1,0,0,4,0x2400,2,None,None,1,0x600402400020000000000000,0,None,0
2024-03-16_11:56:31,0.9164221286773682,1,0,0,5,0x2400,3,None,None,1,0x600402400030000000000000,0,None,0
2024-03-16_11:56:31,1.2216198444366455,1,0,0,6,0x2400,4,None,None,1,0x600402400040000000000000,0,None,0
2024-03-16_11:56:31,1.5266177654266357,1,0,0,7,0x2400,5,None,None,1,0x600402400050000000000000,0,None,0
2024-03-16_11:56:32,1.8328261375427246,1,0,0,8,0x2400,6,None,None,1,0x600402400060000000000000,0,None,0
2024-03-16_11:56:32,2.1370346546173096,1,0,0,9,0x2400,7,None,None,1,0x600402400070000000000000,0,None,0
2024-03-16_11:56:32,2.442950487136841,1,0,0,10,0x2400,8,None,None,1,0x600402400080000000000000,0,None,0
2024-03-16_11:56:33,2.747083902359009,1,0,0,11,0x2400,9,None,None,1,0x600402400090000000000000,0,None,0
2024-03-16_11:56:33,3.053555488586426,1,0,0,12,0x2400,10,None,None,1,0x6004024000a0000000000000,0,None,0
2024-03-16_11:56:33,3.358320713043213,1,0,0,13,0x2400,11,None,None,1,0x6004024000b0000000000000,0,None,0
2024-03-16_11:56:34,3.6636569499969482,1,0,0,14,0x2400,12,None,None,1,0x6004024000c0000000000000,0,None,0
2024-03-16_11:56:34,3.9683899879455566,1,0,0,15,0x2400,13,None,None,1,0x6004024000d0000000000000,0,None,0
2024-03-16_11:56:34,4.273326873779297,1,0,0,16,0x2400,14,None,None,1,0x6004024000e0000000000000,0,None,0
2024-03-16_11:56:34,4.578481197357178,1,0,0,17,0x2400,15,None,None,1,0x6004024000f0000000000000,0,None,0
