Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-06-12 13:28:51,50.9,1.865,1.042,1.042
2024-06-12 13:28:55,51.1,1.865,1.042,1.042
2024-06-12 13:29:00,51.1,1.864,1.042,1.042
2024-06-12 13:29:04,51.1,1.865,1.042,1.042
2024-06-12 13:29:08,51.1,1.865,1.042,1.042
2024-06-12 13:29:13,51.1,1.865,1.042,1.042
2024-06-12 13:29:17,50.8,1.864,1.042,1.042
2024-06-12 13:29:22,50.7,1.865,1.041,1.041
2024-06-12 13:29:26,51.1,1.865,1.042,1.041
2024-06-12 13:29:31,50.8,1.863,1.042,1.041
2024-06-12 13:29:35,51.1,1.865,1.042,1.042
2024-06-12 13:29:40,51.1,1.864,1.042,1.042
2024-06-12 13:29:44,51.1,1.865,1.042,1.042
2024-06-12 13:29:49,50.9,1.865,1.042,1.042
2024-06-12 13:29:53,50.8,1.863,1.042,1.042
2024-06-12 13:29:57,50.9,1.864,1.042,1.042
2024-06-12 13:30:02,51.2,1.865,1.042,1.042
2024-06-12 13:30:06,51.1,1.865,1.042,1.042
2024-06-12 13:30:11,51.1,1.865,1.043,1.042
2024-06-12 13:30:15,51.1,1.865,1.043,1.042
2024-06-12 13:30:20,51.2,1.865,1.042,1.042
2024-06-12 13:30:24,51.2,1.865,1.043,1.042
2024-06-12 13:30:29,51.1,1.865,1.042,1.042
2024-06-12 13:30:33,51.1,1.865,1.042,1.042
2024-06-12 13:30:38,51.2,1.865,1.042,1.042
2024-06-12 13:30:42,51.2,1.865,1.043,1.042
2024-06-12 13:30:46,51.2,1.865,1.042,1.042
2024-06-12 13:30:51,51.1,1.865,1.042,1.042
2024-06-12 13:30:55,51.2,1.865,1.043,1.042
2024-06-12 13:31:00,51.2,1.865,1.042,1.042
2024-06-12 13:31:04,51.2,1.865,1.042,1.041
2024-06-12 13:31:09,51.1,1.865,1.043,1.042
2024-06-12 13:31:13,51.2,1.864,1.042,1.042
2024-06-12 13:31:18,51.3,1.865,1.042,1.042
2024-06-12 13:31:22,51.3,1.865,1.042,1.042
2024-06-12 13:31:27,51.1,1.865,1.042,1.042
2024-06-12 13:31:31,51.4,1.865,1.043,1.042
2024-06-12 13:31:36,51.3,1.865,1.042,1.042
2024-06-12 13:31:40,51.3,1.865,1.042,1.042
2024-06-12 13:31:44,51.4,1.865,1.042,1.042
2024-06-12 13:31:49,51.3,1.865,1.042,1.042
2024-06-12 13:31:53,51.6,1.865,1.043,1.042
2024-06-12 13:31:58,51.4,1.865,1.043,1.043
2024-06-12 13:32:02,51.4,1.865,1.043,1.042
2024-06-12 13:32:07,51.4,1.866,1.043,1.042
2024-06-12 13:32:11,51.4,1.866,1.043,1.042
2024-06-12 13:32:16,51.3,1.865,1.042,1.042
2024-06-12 13:32:20,51.4,1.866,1.044,1.042
2024-06-12 13:32:25,51.7,1.866,1.043,1.042
2024-06-12 13:32:29,51.4,1.865,1.042,1.042
2024-06-12 13:32:34,51.6,1.866,1.042,1.042
2024-06-12 13:32:38,51.4,1.865,1.042,1.042
2024-06-12 13:32:43,51.6,1.867,1.043,1.042
2024-06-12 13:32:47,51.6,1.865,1.042,1.042
2024-06-12 13:32:51,51.6,1.867,1.043,1.043
2024-06-12 13:32:56,51.8,1.866,1.044,1.042
2024-06-12 13:33:00,51.8,1.866,1.044,1.042
2024-06-12 13:33:05,51.4,1.866,1.043,1.043
2024-06-12 13:33:09,51.7,1.865,1.042,1.042
2024-06-12 13:33:14,51.7,1.866,1.044,1.043
2024-06-12 13:33:18,51.8,1.866,1.043,1.042
2024-06-12 13:33:23,51.8,1.866,1.043,1.043
2024-06-12 13:33:27,51.7,1.866,1.043,1.043
2024-06-12 13:33:32,51.6,1.865,1.043,1.042
2024-06-12 13:33:36,51.8,1.866,1.044,1.042
2024-06-12 13:33:41,51.7,1.866,1.043,1.043
2024-06-12 13:33:45,51.9,1.867,1.044,1.043
2024-06-12 13:33:49,51.6,1.866,1.043,1.042
2024-06-12 13:33:54,51.7,1.866,1.043,1.043
2024-06-12 13:33:58,51.6,1.865,1.042,1.042
2024-06-12 13:34:03,51.8,1.866,1.042,1.042
2024-06-12 13:34:07,51.6,1.866,1.043,1.042
2024-06-12 13:34:12,51.8,1.866,1.043,1.043
2024-06-12 13:34:16,51.7,1.866,1.043,1.043
2024-06-12 13:34:21,51.8,1.867,1.043,1.042
2024-06-12 13:34:25,51.8,1.866,1.043,1.043
2024-06-12 13:34:30,51.7,1.866,1.043,1.043
2024-06-12 13:34:34,51.9,1.867,1.043,1.043
2024-06-12 13:34:38,51.8,1.866,1.043,1.043
2024-06-12 13:34:43,51.8,1.866,1.043,1.042
2024-06-12 13:34:47,51.8,1.866,1.043,1.043
2024-06-12 13:34:52,51.8,1.867,1.043,1.043
2024-06-12 13:34:56,51.8,1.866,1.044,1.043
2024-06-12 13:35:01,51.9,1.867,1.043,1.043
2024-06-12 13:35:05,51.8,1.866,1.042,1.042
2024-06-12 13:35:10,51.8,1.866,1.043,1.043
2024-06-12 13:35:14,51.8,1.866,1.042,1.042
2024-06-12 13:35:19,51.9,1.867,1.044,1.043
2024-06-12 13:35:23,51.9,1.866,1.043,1.043
2024-06-12 13:35:28,52.0,1.867,1.044,1.044
2024-06-12 13:35:32,51.8,1.866,1.044,1.043
2024-06-12 13:35:36,51.9,1.866,1.043,1.042
2024-06-12 13:35:41,52.0,1.867,1.044,1.044
2024-06-12 13:35:45,51.8,1.866,1.043,1.042
2024-06-12 13:35:50,51.9,1.867,1.043,1.043
2024-06-12 
