Times,elabsed_time,test_tx,bus_id,nodeId,adc_ch,index,sub_index,adc_data,adc_data_converted,reqmsg,requestreg,respmsg,responsereg,status
2024-03-12_09:18:46,0.3067631721496582,1,0,0,3,0x2400,1,None,None,1,0x600402400010000000000000,0,None,0
2024-03-12_09:18:46,0.6131160259246826,1,0,0,4,0x2400,2,None,None,1,0x600402400020000000000000,0,None,0
2024-03-12_09:18:46,0.9180154800415039,1,0,0,5,0x2400,3,None,None,1,0x600402400030000000000000,0,None,0
2024-03-12_09:18:47,1.2228872776031494,1,0,0,6,0x2400,4,None,None,1,0x600402400040000000000000,0,None,0
2024-03-12_09:18:47,1.529115915298462,1,0,0,7,0x2400,5,None,None,1,0x600402400050000000000000,0,None,0
2024-03-12_09:18:47,1.8342418670654297,1,0,0,8,0x2400,6,None,None,1,0x600402400060000000000000,0,None,0
2024-03-12_09:18:48,2.1402535438537598,1,0,0,9,0x2400,7,None,None,1,0x600402400070000000000000,0,None,0
2024-03-12_09:18:48,2.4441170692443848,1,0,0,10,0x2400,8,None,None,1,0x600402400080000000000000,0,None,0
2024-03-12_09:18:48,2.7503960132598877,1,0,0,11,0x2400,9,None,None,1,0x600402400090000000000000,0,None,0
2024-03-12_09:18:49,3.054382801055908,1,0,0,12,0x2400,10,None,None,1,0x6004024000a0000000000000,0,None,0
2024-03-12_09:18:49,3.3605237007141113,1,0,0,13,0x2400,11,None,None,1,0x6004024000b0000000000000,0,None,0
2024-03-12_09:18:49,3.6644084453582764,1,0,0,14,0x2400,12,None,None,1,0x6004024000c0000000000000,0,None,0
2024-03-12_09:18:50,3.971083402633667,1,0,0,15,0x2400,13,None,None,1,0x6004024000d0000000000000,0,None,0
2024-03-12_09:18:50,4.275814056396484,1,0,0,16,0x2400,14,None,None,1,0x6004024000e0000000000000,0,None,0
2024-03-12_09:18:50,4.581239223480225,1,0,0,17,0x2400,15,None,None,1,0x6004024000f0000000000000,0,None,0
2024-03-12_09:18:50,4.88596248626709,1,0,0,18,0x2400,16,None,None,1,0x600402400100000000000000,0,None,0
2024-03-12_09:18:51,5.190822124481201,1,0,0,19,0x2400,17,None,None,1,0x600402400110000000000000,0,None,0
2024-03-12_09:18:51,5.496090650558472,1,0,0,20,0x2400,18,None,None,1,0x600402400120000000000000,0,None,0
2024-03-12_09:18:51,5.801009654998779,1,0,0,21,0x2400,19,None,None,1,0x600402400130000000000000,0,None,0
2024-03-12_09:18:52,6.106319904327393,1,0,0,22,0x2400,20,None,None,1,0x600402400140000000000000,0,None,0
2024-03-12_09:18:52,6.411239862442017,1,0,0,23,0x2400,21,None,None,1,0x600402400150000000000000,0,None,0
2024-03-12_09:18:52,6.716330051422119,1,0,0,24,0x2400,22,None,None,1,0x600402400160000000000000,0,None,0
2024-03-12_09:18:53,7.020290374755859,1,0,0,25,0x2400,23,None,None,1,0x600402400170000000000000,0,None,0
2024-03-12_09:18:53,7.326521635055542,1,0,0,26,0x2400,24,None,None,1,0x600402400180000000000000,0,None,0
