Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-06-12 12:18:41,50.2,1.863,1.041,1.041
2024-06-12 12:18:43,50.4,1.864,1.042,1.041
2024-06-12 12:18:46,50.0,1.863,1.041,1.040
2024-06-12 12:18:48,50.2,1.863,1.041,1.042
2024-06-12 12:18:50,50.1,1.863,1.040,1.041
2024-06-12 12:18:53,50.1,1.863,1.042,1.041
2024-06-12 12:18:55,50.1,1.863,1.041,1.041
2024-06-12 12:18:57,50.1,1.863,1.041,1.041
2024-06-12 12:19:00,50.0,1.863,1.040,1.041
2024-06-12 12:19:02,50.2,1.863,1.040,1.041
2024-06-12 12:19:04,50.1,1.863,1.042,1.040
2024-06-12 12:19:07,50.3,1.863,1.041,1.040
2024-06-12 12:19:09,50.2,1.863,1.042,1.040
2024-06-12 12:19:11,50.2,1.863,1.041,1.041
2024-06-12 12:19:14,50.1,1.863,1.041,1.041
2024-06-12 12:19:16,50.2,1.863,1.041,1.040
2024-06-12 12:19:18,50.2,1.863,1.041,1.041
2024-06-12 12:19:21,50.1,1.863,1.041,1.041
2024-06-12 12:19:23,50.1,1.863,1.042,1.041
2024-06-12 12:19:26,50.2,1.863,1.041,1.040
2024-06-12 12:19:28,50.1,1.863,1.041,1.042
2024-06-12 12:19:30,50.3,1.863,1.042,1.040
2024-06-12 12:19:33,50.3,1.863,1.040,1.041
2024-06-12 12:19:35,50.1,1.863,1.041,1.040
2024-06-12 12:19:37,50.1,1.863,1.042,1.041
2024-06-12 12:19:40,50.0,1.863,1.042,1.040
2024-06-12 12:19:42,50.1,1.864,1.042,1.041
2024-06-12 12:19:44,50.2,1.863,1.041,1.040
2024-06-12 12:19:47,50.2,1.863,1.041,1.041
2024-06-12 12:19:49,50.2,1.863,1.042,1.041
2024-06-12 12:19:51,50.2,1.863,1.042,1.041
2024-06-12 12:19:54,50.1,1.863,1.040,1.041
2024-06-12 12:19:56,50.2,1.863,1.041,1.042
2024-06-12 12:19:58,50.2,1.863,1.041,1.041
2024-06-12 12:20:01,50.1,1.863,1.041,1.041
2024-06-12 12:20:03,50.2,1.863,1.041,1.041
