Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-02-08_15:33:39,9.114444017410278,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:33:49,18.72873330116272,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:33:59,28.34356427192688,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:34:08,37.95979619026184,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:34:18,47.57559132575989,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:34:27,57.18997359275818,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:34:37,66.8053331375122,0.0,0.0,2.0,0.0,2.0
2024-02-08_15:34:47,76.4199640750885,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:34:56,86.03491449356079,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:35:06,95.64902758598328,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:35:16,105.26450443267822,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:35:25,114.88056135177612,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:35:35,124.49483156204224,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:35:44,134.11104702949524,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:35:54,143.72620701789856,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:36:04,153.3406777381897,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:36:13,162.9561014175415,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:36:23,172.56998658180237,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:36:32,182.18504214286804,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:36:42,191.79964447021484,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:36:52,201.41434812545776,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:37:01,211.02915287017822,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:37:11,220.644522190094,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:37:21,230.25978302955627,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:37:30,239.87481665611267,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:37:40,249.49067759513855,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:37:49,259.1057348251343,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:37:59,268.7211403846741,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:38:09,278.3365828990936,2.0,2.0,2.0,2.0,2.0
2024-02-08_15:38:18,287.95187044143677,2.0,2.0,2.0,2.0,2.0
