Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-02-08_15:39:16,9.114845752716064,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:39:25,18.73067879676819,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:39:35,28.34580969810486,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:39:44,37.96135139465332,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:39:54,47.57581448554993,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:40:04,57.19061064720154,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:40:13,66.80490469932556,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:40:23,76.42020869255066,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:40:33,86.03576922416687,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:40:42,95.64982032775879,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:40:52,105.26538395881653,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:41:01,114.88020348548889,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:41:11,124.49582290649414,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:41:21,134.11134243011475,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:41:30,143.7276256084442,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:41:40,153.34338665008545,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:41:49,162.9582815170288,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:41:59,172.57310009002686,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:42:09,182.18744349479675,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:42:18,191.80363082885742,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:42:28,201.41864776611328,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:42:38,211.03351211547852,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:42:47,220.64864706993103,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:42:57,230.26370358467102,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:43:06,239.8799171447754,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:43:16,249.49438047409058,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:43:26,259.1096520423889,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:43:35,268.7246537208557,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:43:45,278.3403573036194,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:43:54,287.95517325401306,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:44:04,297.5704131126404,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:44:14,307.1844313144684,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:44:23,316.79981565475464,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:44:33,326.4136664867401,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:44:43,336.02846813201904,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:44:52,345.6431474685669,0.0,0.0,0.0,0.0,5.0
