time,test_tx,bus_id,nodeId,adc_ch,index,sub_index,adc_data,adc_data_converted,reqmsg,requestreg,respmsg,responsereg,status
0.20241236686706543,1,1,0,3,0x2400,1,0,0.0,1,0x600402400010100000000000,1,0x580432400010100000000000,1
0.4037303924560547,1,1,0,4,0x2400,2,39,0.012,1,0x600402400020100000000000,1,0x580432400020100002700000,1
0.6050393581390381,1,1,0,5,0x2400,3,59,0.018,1,0x600402400030100000000000,1,0x580432400030100003b00000,1
0.8068113327026367,1,1,0,6,0x2400,4,59,0.018,1,0x600402400040100000000000,1,0x580432400040100003b00000,1
1.008274793624878,1,1,0,7,0x2400,5,60,0.018,1,0x600402400050100000000000,1,0x580432400050100003c00000,1
1.2095203399658203,1,1,0,8,0x2400,6,28,0.008,1,0x600402400060100000000000,1,0x580432400060100001c00000,1
1.4106299877166748,1,1,0,9,0x2400,7,32,0.01,1,0x600402400070100000000000,1,0x580432400070100002000000,1
1.6115140914916992,1,1,0,10,0x2400,8,35,0.01,1,0x600402400080100000000000,1,0x580432400080100002300000,1
1.8123581409454346,1,1,0,11,0x2400,9,13,0.004,1,0x600402400090100000000000,1,0x580432400090100000d00000,1
2.01387095451355,1,1,0,12,0x2400,10,12,0.004,1,0x6004024000a0100000000000,1,0x5804324000a0100000c00000,1
