# E# E (MeV/u), F# 1-6 (mm FWHM) I# 1-15 (Ions/s) for a total of  255 12C Energies ----- LIBC Version 1.3 C12 V8
 24 135.16 7.1  8.4 10.0 11.6 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 25 136.92 7.1  8.3 10.0 11.6 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 26 138.66 7.0  8.2  9.9 11.5 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 27 140.38 6.9  8.2  9.9 11.5 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 28 142.09 6.8  8.1  9.8 11.4 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 29 143.79 6.8  8.0  9.8 11.4 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 30 145.47 6.7  8.0  9.7 11.4 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 31 147.13 6.6  7.9  9.7 11.3 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 32 148.78 6.6  7.9  9.7 11.3 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 33 150.42 6.5  7.8  9.6 11.2 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 34 152.05 6.5  7.8  9.6 11.2 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 35 153.66 6.4  7.7  9.5 11.2 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 36 155.26 6.3  7.7  9.5 11.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 37 156.85 6.3  7.6  9.5 11.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 38 158.43 6.2  7.6  9.4 11.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 39 159.99 6.2  7.5  9.4 11.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 40 161.55 6.1  7.5  9.4 11.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 41 163.09 6.1  7.5  9.3 11.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 42 164.63 6.0  7.4  9.3 11.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
