# E# E (MeV/u), F# 1-6 (mm FWHM) I# 1-15 (Ions/s) for a total of  255 12C Energies ----- LIBC Version 1.3 C12 V8
101 243.03 4.4  6.2  8.3 10.2 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
102 244.21 4.4  6.2  8.3 10.2 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
103 245.39 4.4  6.2  8.3 10.2 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
104 246.57 4.4  6.1  8.3 10.2 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
105 247.74 4.4  6.1  8.3 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
106 248.91 4.3  6.1  8.3 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
107 250.08 4.3  6.1  8.3 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
108 251.24 4.3  6.1  8.3 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
109 252.40 4.3  6.1  8.3 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
110 253.55 4.3  6.1  8.3 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
111 254.71 4.3  6.1  8.3 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
112 255.86 4.3  6.1  8.3 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
113 257.00 4.3  6.1  8.3 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
114 258.15 4.2  6.1  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
115 259.29 4.2  6.1  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
116 260.43 4.2  6.0  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
117 261.56 4.2  6.0  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
118 262.70 4.2  6.0  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
119 263.83 4.2  6.0  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
120 264.95 4.2  6.0  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
121 266.08 4.2  6.0  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
122 267.20 4.2  6.0  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
123 268.32 4.1  6.0  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
124 269.43 4.1  6.0  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
125 270.55 4.1  6.0  8.2 10.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
126 271.66 4.1  6.0  8.2 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
127 272.77 4.1  6.0  8.2 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
128 273.88 4.1  6.0  8.2 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
129 274.98 4.1  6.0  8.2 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
130 276.09 4.1  5.9  8.2 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
131 277.19 4.1  5.9  8.2 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
132 278.29 4.1  5.9  8.2 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
133 279.38 4.1  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
134 280.48 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
135 281.57 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
136 282.67 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
137 283.76 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
138 284.84 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
139 285.93 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
140 287.02 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
141 288.10 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
142 289.18 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
143 290.26 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
144 291.34 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
145 292.42 4.0  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
146 293.50 3.9  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
147 294.57 3.9  5.9  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
148 295.65 3.9  5.8  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
149 296.72 3.9  5.8  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
150 297.79 3.9  5.8  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
151 298.87 3.9  5.8  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
152 299.94 3.9  5.8  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
153 301.00 3.9  5.8  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
154 302.07 3.9  5.8  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
155 303.14 3.9  5.8  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
156 304.21 3.9  5.8  8.1 10.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
157 305.27 3.9  5.8  8.1  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
158 306.33 3.9  5.8  8.1  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
159 307.40 3.9  5.8  8.1  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
160 308.46 3.9  5.8  8.1  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
161 309.52 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
162 310.58 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
163 311.64 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
164 312.70 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
165 313.76 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
166 314.81 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
167 315.87 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
168 316.92 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
169 317.97 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
170 319.02 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
171 320.07 3.8  5.8  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
172 321.12 3.8  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
173 322.17 3.8  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
174 323.21 3.8  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
175 324.26 3.8  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
176 325.30 3.8  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
177 326.34 3.8  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
178 327.38 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
179 328.41 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
180 329.44 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
181 330.48 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
182 331.47 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
183 332.98 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
184 333.96 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
185 334.94 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
186 335.92 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
187 336.89 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
188 337.86 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
189 338.83 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
190 339.80 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
191 340.77 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
192 341.73 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
193 343.46 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
194 344.94 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
195 346.42 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
196 347.90 3.7  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
197 349.37 3.6  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
198 350.84 3.6  5.7  8.0  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
199 352.30 3.6  5.7  7.9  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
200 353.76 3.6  5.6  7.9  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
201 355.22 3.6  5.6  7.9  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
202 356.68 3.6  5.6  7.9  9.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
203 358.13 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
