Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_18:14:00,9.236427783966064,67.0,26.0,24.0,17.0,177.0
2024-07-07_18:14:09,18.713159322738647,67.0,26.0,56.0,17.0,209.0
2024-07-07_18:14:19,28.049403429031372,67.0,26.0,88.0,17.0,241.0
2024-07-07_18:14:28,37.57901859283447,67.0,26.0,120.0,17.0,17.0
2024-07-07_18:14:38,46.88579082489014,67.0,26.0,152.0,17.0,49.0
2024-07-07_18:14:47,56.311445236206055,67.0,26.0,184.0,17.0,81.0
2024-07-07_18:14:56,65.67849612236023,67.0,26.0,216.0,17.0,113.0
2024-07-07_18:15:06,75.00869941711426,67.0,26.0,248.0,17.0,145.0
2024-07-07_18:15:15,84.31366014480591,67.0,26.0,24.0,17.0,177.0
2024-07-07_18:15:24,93.65330576896667,67.0,26.0,56.0,17.0,209.0
2024-07-07_18:15:34,103.0212721824646,67.0,26.0,88.0,17.0,241.0
2024-07-07_18:15:43,112.47803664207458,67.0,26.0,120.0,17.0,17.0
2024-07-07_18:15:54,123.42097091674805,67.0,26.0,152.0,17.0,49.0
2024-07-07_18:16:30,159.15362548828125,228.0,234.0,156.0,17.0,81.0
2024-07-07_18:16:39,168.20039463043213,228.0,234.0,187.0,18.0,113.0
2024-07-07_18:16:48,177.3749783039093,228.0,234.0,219.0,18.0,145.0
2024-07-07_18:16:57,186.715158700943,228.0,234.0,251.0,18.0,177.0
2024-07-07_18:17:07,196.03234434127808,228.0,234.0,27.0,18.0,209.0
2024-07-07_18:17:16,205.3682243824005,228.0,234.0,59.0,18.0,241.0
2024-07-07_18:17:25,214.59829211235046,228.0,234.0,91.0,18.0,17.0
2024-07-07_18:17:35,223.97006726264954,228.0,234.0,123.0,18.0,49.0
2024-07-07_18:17:44,233.2724573612213,228.0,234.0,155.0,18.0,81.0
2024-07-07_18:17:53,242.54199314117432,228.0,234.0,187.0,18.0,113.0
2024-07-07_18:18:02,251.67986392974854,228.0,234.0,219.0,18.0,145.0
2024-07-07_18:18:12,261.04456520080566,228.0,234.0,251.0,18.0,177.0
2024-07-07_18:18:21,270.2725336551666,228.0,234.0,27.0,18.0,209.0
2024-07-07_18:18:30,279.428662776947,228.0,234.0,59.0,18.0,241.0
2024-07-07_18:18:39,288.7121126651764,228.0,234.0,91.0,18.0,17.0
2024-07-07_18:18:49,298.00351667404175,228.0,234.0,123.0,18.0,49.0
2024-07-07_18:18:58,307.364554643631,228.0,234.0,155.0,18.0,81.0
2024-07-07_18:19:07,316.72048234939575,228.0,234.0,187.0,18.0,113.0
2024-07-07_18:19:17,326.0054829120636,228.0,234.0,219.0,18.0,145.0
2024-07-07_18:19:26,335.272358417511,228.0,234.0,251.0,18.0,177.0
2024-07-07_18:19:35,344.65413522720337,228.0,234.0,27.0,18.0,209.0
