Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_15:34:00,13.280709743499756,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:34:11,24.442773818969727,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:34:21,33.63341021537781,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:34:30,43.039183139801025,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:34:39,52.44108176231384,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:34:49,61.851282835006714,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:34:58,71.2551920413971,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:35:08,80.59965395927429,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:35:17,90.11296248435974,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:35:26,99.51778531074524,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:35:36,108.86410593986511,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:35:45,118.32215523719788,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:35:55,127.77017641067505,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:36:04,137.1491060256958,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:36:14,146.5542757511139,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:36:23,155.92287921905518,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:36:32,165.3143961429596,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:36:42,174.82790899276733,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:36:51,184.27849411964417,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:37:02,194.823659658432,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:37:14,207.09002923965454,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:38:32,285.1404252052307,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:41:35,468.1668417453766,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:44:37,650.1196129322052,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:46:21,754.0121076107025,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:46:32,765.1854152679443,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:46:43,776.2317667007446,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:46:54,787.4110684394836,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:47:05,798.3581433296204,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:47:16,809.3103849887848,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:47:28,820.5828142166138,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:47:39,831.8417797088623,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:47:50,842.8656010627747,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:48:01,853.956827878952,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:48:15,868.4631481170654,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:48:30,883.2835712432861,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:49:00,912.9696922302246,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:49:10,922.6170814037323,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:49:19,931.9227683544159,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:49:59,972.0726442337036,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:50:24,996.9477152824402,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:50:49,1021.6668903827667,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:51:14,1046.5392475128174,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:51:24,1057.1033782958984,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:51:41,1074.1316838264465,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:51:51,1083.5760147571564,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:52:00,1093.035792350769,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:52:09,1102.4109416007996,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:52:19,1111.8668701648712,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:52:28,1121.289836883545,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:52:38,1130.6968207359314,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:52:47,1140.157100200653,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:52:57,1149.6488349437714,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:53:06,1158.876338481903,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:53:15,1168.220967054367,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:53:25,1177.7254972457886,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:53:34,1187.052686214447,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:53:43,1196.43488240242,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:53:53,1205.9742970466614,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:54:02,1215.4070763587952,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:54:12,1224.8837695121765,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:54:21,1234.2422397136688,15.0,15.0,15.0,15.0,15.0
2024-07-07_15:33:47,1241.5917966365814,None,None,None,None,End of Test
