Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_17:57:46,9.259576797485352,224.0,192.0,255.0,16.0,49.0
2024-07-07_17:57:55,18.73104476928711,224.0,192.0,31.0,16.0,81.0
2024-07-07_17:58:05,28.191140174865723,224.0,192.0,63.0,16.0,113.0
2024-07-07_17:58:14,37.60622692108154,224.0,192.0,95.0,16.0,145.0
2024-07-07_17:58:24,46.96824932098389,224.0,192.0,127.0,16.0,177.0
2024-07-07_17:58:33,56.17215442657471,224.0,192.0,159.0,16.0,209.0
2024-07-07_17:58:42,65.50777888298035,224.0,192.0,191.0,16.0,241.0
2024-07-07_17:58:52,74.93671250343323,224.0,192.0,223.0,16.0,17.0
2024-07-07_17:59:01,84.24456286430359,224.0,192.0,255.0,16.0,49.0
2024-07-07_17:59:10,93.70116543769836,224.0,192.0,31.0,16.0,81.0
2024-07-07_17:59:20,103.13454127311707,224.0,192.0,63.0,16.0,113.0
2024-07-07_17:59:29,112.56706857681274,224.0,192.0,95.0,16.0,145.0
2024-07-07_17:59:39,122.12810707092285,224.0,192.0,127.0,16.0,177.0
2024-07-07_17:59:48,131.5614652633667,224.0,192.0,159.0,16.0,209.0
2024-07-07_17:59:58,141.0611743927002,224.0,192.0,191.0,16.0,241.0
2024-07-07_18:00:07,150.4759533405304,224.0,192.0,223.0,16.0,17.0
2024-07-07_18:00:17,159.94814109802246,224.0,192.0,255.0,16.0,49.0
2024-07-07_18:00:26,169.46292972564697,224.0,192.0,31.0,16.0,81.0
2024-07-07_18:00:36,178.87817907333374,224.0,192.0,63.0,16.0,113.0
2024-07-07_18:00:45,188.22275686264038,224.0,192.0,95.0,16.0,145.0
2024-07-07_18:00:54,197.74527955055237,224.0,192.0,127.0,16.0,177.0
2024-07-07_18:01:04,207.16289687156677,224.0,192.0,159.0,16.0,209.0
2024-07-07_18:01:13,216.56416296958923,224.0,192.0,191.0,16.0,241.0
2024-07-07_18:01:23,226.01788854599,224.0,192.0,223.0,16.0,17.0
2024-07-07_17:57:37,255.25822496414185,None,None,None,None,End of Test
