Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_18:29:58,9.35745620727539,5.0,5.0,11.0,0.0,253.0
2024-07-07_18:30:07,18.612553358078003,5.0,5.0,43.0,0.0,29.0
2024-07-07_18:30:16,28.004186868667603,5.0,5.0,75.0,0.0,61.0
2024-07-07_18:30:26,37.355767488479614,5.0,5.0,107.0,0.0,93.0
2024-07-07_18:30:35,46.66132569313049,5.0,5.0,138.0,0.0,126.0
2024-07-07_18:30:44,55.86840200424194,5.0,5.0,170.0,0.0,159.0
2024-07-07_18:30:54,65.24028515815735,5.0,5.0,202.0,0.0,192.0
2024-07-07_18:31:03,74.67829012870789,5.0,5.0,234.0,0.0,225.0
2024-07-07_18:31:12,84.10406017303467,5.0,5.0,9.0,0.0,1.0
2024-07-07_18:31:24,95.41590881347656,5.0,5.0,41.0,0.0,36.0
2024-07-07_18:31:37,108.96606540679932,5.0,5.0,73.0,0.0,55.0
2024-07-07_18:31:52,123.1616461277008,5.0,5.0,105.0,0.0,63.0
2024-07-07_18:32:04,135.71822309494019,5.0,5.0,137.0,0.0,71.0
2024-07-07_18:32:23,154.41926431655884,0.0,0.0,0.0,0.0,4.0
2024-07-07_18:32:34,165.47265243530273,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:32:45,176.41411447525024,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:32:56,187.27839183807373,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:33:07,198.18278908729553,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:33:17,209.127911567688,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:33:28,219.98163151741028,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:33:39,230.9553418159485,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:33:50,241.9309241771698,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:34:01,252.9664351940155,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:34:12,263.84553837776184,15.0,30.0,0.0,0.0,5.0
2024-07-07_18:34:23,274.8732371330261,249.0,40.0,0.0,0.0,5.0
2024-07-07_18:34:50,301.6065368652344,227.0,50.0,0.0,0.0,5.0
2024-07-07_18:35:01,312.52625155448914,188.0,5.0,5.0,19.0,0.0
2024-07-07_18:35:12,323.4041659832001,188.0,5.0,5.0,51.0,0.0
2024-07-07_18:35:23,334.4278795719147,188.0,5.0,5.0,83.0,0.0
2024-07-07_18:35:34,345.4962782859802,188.0,5.0,5.0,115.0,0.0
2024-07-07_18:35:46,357.8539524078369,188.0,5.0,5.0,147.0,0.0
2024-07-07_18:35:57,369.10552167892456,188.0,5.0,5.0,179.0,0.0
2024-07-07_18:36:09,380.51034808158875,188.0,5.0,5.0,211.0,0.0
2024-07-07_18:36:20,391.7971034049988,188.0,5.0,5.0,243.0,0.0
2024-07-07_18:36:31,403.05999398231506,188.0,5.0,5.0,17.0,0.0
2024-07-07_18:36:42,413.86682295799255,188.0,5.0,5.0,49.0,0.0
2024-07-07_18:36:53,424.36166882514954,188.0,5.0,5.0,81.0,0.0
2024-07-07_18:37:04,435.3770775794983,188.0,5.0,5.0,113.0,0.0
2024-07-07_18:37:15,446.3051018714905,188.0,5.0,5.0,145.0,0.0
2024-07-07_18:37:26,457.27688336372375,188.0,5.0,5.0,145.0,0.0
2024-07-07_18:37:37,468.2276358604431,188.0,5.0,5.0,177.0,0.0
2024-07-07_18:37:48,479.19981718063354,188.0,5.0,5.0,208.0,0.0
2024-07-07_18:29:48,486.8073670864105,None,None,None,None,End of Test
