Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_14:11:53,646.2018134593964,30.0,130.0,77.0,0.0,1.0
2024-07-07_14:12:03,655.6926033496857,30.0,130.0,109.0,0.0,35.0
2024-07-07_14:12:12,665.1951313018799,30.0,130.0,143.0,0.0,67.0
2024-07-07_14:12:22,674.6867461204529,30.0,130.0,175.0,0.0,99.0
2024-07-07_14:12:31,684.2105326652527,30.0,130.0,207.0,0.0,136.0
2024-07-07_14:12:41,693.6722321510315,30.0,130.0,239.0,0.0,169.0
2024-07-07_14:12:50,703.150128364563,30.0,130.0,15.0,0.0,201.0
2024-07-07_14:12:59,712.5558943748474,30.0,130.0,47.0,0.0,233.0
2024-07-07_14:13:09,721.9505851268768,30.0,130.0,75.0,0.0,9.0
2024-07-07_14:13:18,731.4009664058685,30.0,130.0,107.0,0.0,42.0
2024-07-07_14:13:28,740.9208076000214,30.0,130.0,139.0,0.0,75.0
2024-07-07_14:13:37,750.3506190776825,30.0,130.0,171.0,0.0,108.0
2024-07-07_14:13:47,759.7805969715118,30.0,130.0,203.0,0.0,141.0
2024-07-07_14:13:56,769.1039671897888,30.0,130.0,235.0,0.0,174.0
2024-07-07_14:14:05,778.5528659820557,30.0,130.0,11.0,0.0,207.0
2024-07-07_14:14:15,788.0645759105682,30.0,130.0,43.0,0.0,239.0
2024-07-07_14:14:24,797.5225546360016,30.0,130.0,74.0,0.0,15.0
2024-07-07_14:14:34,807.022803068161,30.0,130.0,106.0,0.0,46.0
2024-07-07_14:14:43,816.5121319293976,30.0,130.0,138.0,0.0,78.0
2024-07-07_14:14:53,825.9776780605316,30.0,130.0,170.0,0.0,115.0
2024-07-07_14:15:02,835.4591066837311,30.0,130.0,202.0,0.0,147.0
2024-07-07_14:15:12,844.9454510211945,30.0,130.0,234.0,0.0,179.0
2024-07-07_14:15:21,854.4256157875061,30.0,130.0,10.0,0.0,212.0
2024-07-07_14:15:31,863.8019275665283,30.0,130.0,42.0,0.0,244.0
2024-07-07_14:15:40,873.2791500091553,30.0,130.0,74.0,0.0,22.0
2024-07-07_14:15:50,882.711852312088,30.0,130.0,106.0,0.0,54.0
2024-07-07_14:15:59,892.2217533588409,30.0,130.0,138.0,0.0,86.0
2024-07-07_14:16:09,901.6223728656769,30.0,130.0,170.0,0.0,118.0
2024-07-07_14:16:18,911.0544338226318,30.0,130.0,202.0,0.0,150.0
2024-07-07_14:16:27,920.378853559494,30.0,130.0,233.0,0.0,182.0
