Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_17:57:46,9.259576797485352,0.0,188.0,5.0,5.0,0.0
2024-07-07_17:57:55,18.73104476928711,0.0,188.0,5.0,5.0,32.0
2024-07-07_17:58:05,28.191140174865723,0.0,188.0,5.0,5.0,64.0
2024-07-07_17:58:14,37.60622692108154,0.0,188.0,5.0,5.0,96.0
2024-07-07_17:58:24,46.96824932098389,0.0,188.0,5.0,5.0,128.0
2024-07-07_17:58:33,56.17215442657471,0.0,188.0,5.0,5.0,160.0
2024-07-07_17:58:42,65.50777888298035,0.0,188.0,5.0,5.0,192.0
2024-07-07_17:58:52,74.93671250343323,0.0,188.0,5.0,5.0,224.0
2024-07-07_17:59:01,84.24456286430359,0.0,188.0,5.0,5.0,0.0
2024-07-07_17:59:10,93.70116543769836,0.0,188.0,5.0,5.0,31.0
2024-07-07_17:59:20,103.13454127311707,0.0,188.0,5.0,5.0,62.0
2024-07-07_17:59:29,112.56706857681274,0.0,188.0,5.0,5.0,94.0
2024-07-07_17:59:39,122.12810707092285,0.0,188.0,5.0,5.0,126.0
2024-07-07_17:59:48,131.5614652633667,0.0,188.0,5.0,5.0,158.0
2024-07-07_17:59:58,141.0611743927002,0.0,188.0,5.0,5.0,190.0
2024-07-07_18:00:07,150.4759533405304,0.0,188.0,5.0,5.0,217.0
2024-07-07_18:00:17,159.94814109802246,0.0,188.0,5.0,5.0,248.0
2024-07-07_18:00:26,169.46292972564697,0.0,188.0,5.0,5.0,24.0
2024-07-07_18:00:36,178.87817907333374,0.0,188.0,5.0,5.0,56.0
2024-07-07_18:00:45,188.22275686264038,0.0,188.0,5.0,5.0,88.0
2024-07-07_18:00:54,197.74527955055237,0.0,188.0,5.0,5.0,120.0
2024-07-07_18:01:04,207.16289687156677,0.0,188.0,5.0,5.0,152.0
2024-07-07_18:01:13,216.56416296958923,0.0,188.0,5.0,5.0,184.0
2024-07-07_18:01:23,226.01788854599,0.0,188.0,5.0,5.0,216.0
2024-07-07_17:57:37,255.25822496414185,None,None,None,None,End of Test
