Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_18:29:58,9.35745620727539,54.0,177.0,220.0,21.0,201.0
2024-07-07_18:30:07,18.612553358078003,54.0,177.0,252.0,21.0,233.0
2024-07-07_18:30:16,28.004186868667603,54.0,177.0,28.0,21.0,9.0
2024-07-07_18:30:26,37.355767488479614,54.0,177.0,60.0,21.0,41.0
2024-07-07_18:30:35,46.66132569313049,54.0,177.0,92.0,21.0,73.0
2024-07-07_18:30:44,55.86840200424194,54.0,177.0,124.0,21.0,105.0
2024-07-07_18:30:54,65.24028515815735,54.0,177.0,156.0,21.0,137.0
2024-07-07_18:31:03,74.67829012870789,54.0,177.0,188.0,21.0,169.0
2024-07-07_18:31:12,84.10406017303467,54.0,177.0,220.0,21.0,201.0
2024-07-07_18:31:24,95.41590881347656,54.0,177.0,252.0,21.0,233.0
2024-07-07_18:31:37,108.96606540679932,54.0,177.0,19.0,21.0,9.0
2024-07-07_18:31:52,123.1616461277008,54.0,177.0,27.0,21.0,41.0
2024-07-07_18:32:04,135.71822309494019,54.0,177.0,31.0,21.0,73.0
2024-07-07_18:32:23,154.41926431655884,193.0,252.0,41.0,21.0,105.0
2024-07-07_18:32:34,165.47265243530273,193.0,252.0,42.0,22.0,137.0
2024-07-07_18:32:45,176.41411447525024,193.0,252.0,42.0,22.0,169.0
2024-07-07_18:32:56,187.27839183807373,193.0,252.0,42.0,22.0,201.0
2024-07-07_18:33:07,198.18278908729553,193.0,252.0,42.0,22.0,233.0
2024-07-07_18:33:17,209.127911567688,193.0,252.0,42.0,22.0,9.0
2024-07-07_18:33:28,219.98163151741028,193.0,252.0,42.0,22.0,41.0
2024-07-07_18:33:39,230.9553418159485,193.0,252.0,42.0,22.0,73.0
2024-07-07_18:33:50,241.9309241771698,193.0,252.0,42.0,22.0,105.0
2024-07-07_18:34:01,252.9664351940155,193.0,252.0,42.0,22.0,137.0
2024-07-07_18:34:12,263.84553837776184,193.0,252.0,42.0,22.0,169.0
2024-07-07_18:34:23,274.8732371330261,193.0,252.0,42.0,22.0,201.0
2024-07-07_18:34:50,301.6065368652344,152.0,220.0,42.0,22.0,233.0
2024-07-07_18:35:01,312.52625155448914,57.0,112.0,202.0,22.0,9.0
2024-07-07_18:35:12,323.4041659832001,57.0,112.0,202.0,22.0,41.0
2024-07-07_18:35:23,334.4278795719147,57.0,112.0,202.0,22.0,73.0
2024-07-07_18:35:34,345.4962782859802,57.0,112.0,202.0,22.0,105.0
2024-07-07_18:35:46,357.8539524078369,57.0,112.0,202.0,22.0,137.0
2024-07-07_18:35:57,369.10552167892456,57.0,112.0,202.0,22.0,169.0
2024-07-07_18:36:09,380.51034808158875,57.0,112.0,202.0,22.0,201.0
2024-07-07_18:36:20,391.7971034049988,57.0,112.0,202.0,22.0,233.0
2024-07-07_18:36:31,403.05999398231506,57.0,112.0,202.0,22.0,9.0
2024-07-07_18:36:42,413.86682295799255,57.0,112.0,202.0,22.0,41.0
2024-07-07_18:36:53,424.36166882514954,57.0,112.0,202.0,22.0,73.0
2024-07-07_18:37:04,435.3770775794983,57.0,112.0,202.0,22.0,105.0
2024-07-07_18:37:15,446.3051018714905,57.0,112.0,202.0,22.0,137.0
2024-07-07_18:37:26,457.27688336372375,57.0,112.0,202.0,22.0,169.0
2024-07-07_18:37:37,468.2276358604431,57.0,112.0,202.0,22.0,201.0
2024-07-07_18:37:48,479.19981718063354,57.0,112.0,202.0,22.0,233.0
2024-07-07_18:29:48,486.8073670864105,None,None,None,None,End of Test
